更新时间,#genre#
CCTV-11,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265011/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265011&livemode=1&stbId=no$1920x1080
CCTV-11,http://1.24.190.98:10089/hls/21/index.m3u8
CCTV-11,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/2/224/3221225597/2.m3u8
CCTV-11,http://111.61.236.247:9081/hls/11/index.m3u8
CCTV-12,http://171.213.131.154:4022/rtp/239.93.1.30:8124$1920x1080
CCTV-12,http://221.237.92.253:9999/rtp/239.93.1.30:8124$1920x1080
CCTV-12,http://171.213.130.23:8088/rtp/239.93.1.30:8124$1920x1080
CCTV-12,http://222.211.162.32:1880/rtp/239.93.1.30:8124$1920x1080
CCTV-12,http://223.10.39.207:8083/rtp/239.1.1.19:8019$1920x1080
CCTV-12,http://223.10.115.195:8083/rtp/239.1.1.19:8019$1920x1080
CCTV-12,http://171.117.3.37:8083/rtp/226.0.2.164:9224$1920x1080
CCTV-12,http://116.135.5.103:8082/rtp/226.0.2.164:9224$1920x1080
CCTV-12,http://171.117.3.37:8083/rtp/226.0.2.29:8144$1920x1080
CCTV-12,http://116.135.5.103:8082/rtp/226.0.2.29:8144$1920x1080
CCTV-12,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226568/index.m3u8
CCTV-12,http://[2409:8087:1a01:df::4023]/TVOD/88888888/224/3221225669/main.m3u8
CCTV-12,http://113.25.70.59:8891/udp/239.1.1.19:8019$1920x1080
CCTV-12,http://121.24.98.154:8090/hls/20/index.m3u8
CCTV-12,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010205/1.m3u8
CCTV-12,http://110.177.146.171:888/udp/239.1.1.19:8019$1920x1080
CCTV-12,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226436/index.m3u8
CCTV-12,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/2/224/3221225731/2.m3u8
CCTV-12,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000032494/1.m3u8
CCTV-12,http://58.57.21.166:9901/tsfile/live/0012_1.m3u8
CCTV-13,http://171.213.131.154:4022/rtp/239.93.0.66:5140$1920x1080
CCTV-13,http://221.237.92.253:9999/rtp/239.93.0.66:5140$1920x1080
CCTV-13,http://171.213.130.23:8088/rtp/239.93.0.66:5140$1920x1080
CCTV-13,http://222.211.162.32:1880/rtp/239.93.0.66:5140$1920x1080
CCTV-13,http://223.10.39.207:8083/rtp/239.1.1.20:8020$1920x1080
CCTV-13,http://223.10.115.195:8083/rtp/239.1.1.20:8020$1920x1080
CCTV-13,http://171.117.3.37:8083/rtp/226.0.2.165:9232$1920x1080
CCTV-13,http://116.135.5.103:8082/rtp/226.0.2.165:9232$1920x1080
CCTV-13,http://171.117.3.37:8083/rtp/226.0.2.30:8152$1920x1080
CCTV-13,http://116.135.5.103:8082/rtp/226.0.2.30:8152$1920x1080
CCTV-13,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV-13,http://113.25.70.59:8891/udp/239.1.1.20:8020$1920x1080
CCTV-13,http://124.128.73.58:9901/tsfile/live/0013_1.m3u8
CCTV-13,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226537/index.m3u8
CCTV-13,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010093/1.m3u8
CCTV-13,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226011/index.m3u8
CCTV-13,http://[2409:8087:1a01:df::4009]/TVOD/88888888/224/3221226077/main.m3u8
CCTV-13,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226571/index.m3u8
CCTV-13,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226571/index.m3u8
CCTV-13,http://123.182.60.29:9002/hls/13/index.m3u8
CCTV-14,http://223.10.39.207:8083/rtp/239.1.1.21:8021$1920x1080
CCTV-14,http://223.10.115.195:8083/rtp/239.1.1.21:8021$1920x1080
CCTV-14,http://171.117.3.37:8083/rtp/226.0.2.166:9240$1920x1080
CCTV-14,http://116.135.5.103:8082/rtp/226.0.2.166:9240$1920x1080
CCTV-14,http://171.117.3.37:8083/rtp/226.0.2.31:8160$1920x1080
